audit_order,check_id,status,evidence,target_value_read_status,audit_row_sha256
1,target_frequency_absent,pass,no clock frequency enters the frozen M1 packet,not_read,c6091dc3bbc361e00ccaf87b308b2795aff4969ab1558356cf70b2f211391147
2,hypothesis_hidden_from_detector,pass,p:q hypothesis is excluded from detector inputs,not_read,b1567134a1c16d756864e2cef1fc94d847494328ea76c5a00c3eae94ecd9b9bd
3,hypothesis_match_computed,pass,hypothesis status is calculated after detection,not_read,f1f35f28f08fc85161d26a1c319460d67eb2c0b86f3cdb8f768aa1be6ba46421
4,pre_detection_manifest_verified,pass,all frozen artifact hashes are checked before semantic classification,not_read,c0e12be1c0aab72fc82626d3f322bf4dbcee2aa3f6dc2981683dc4e3b90bf7c5
5,execution_mode_enforced,pass,enumerate_all mass propagation is materialized and verified,not_read,ec9faaf9b9d3eac601b5c0c03a37ce3e0ee12be9ac22c2d67e58970913ce5e17
6,stage_kernel_normalization_enforced,pass,every stage kernel normalizes exactly,not_read,e96c05f662270b7021d8cc9381df4df820be4af84dc1e905049319e3da3f2b1a
7,stage_mass_conservation_enforced,pass,every execution stage conserves exact rational mass,not_read,6101e0403158af8aeb143a6f796dac5c3650a5918c9515acec4cb964e7b7f228
8,support_core_derived_from_enumeration,pass,p:q is derived from the frozen kernel enumeration,not_read,a09ae12addc17004ff1b48da977d636d7e4fb8942b89011ab3a3f43624e158b0
9,L_is_declared_scope,pass,"L is read from the boundary card, not detected",not_read,fb95374afeee38165446a9d0bafbf91c660e4e89518d10bdfffcb2c25aeb2420
10,identity_specific_occurrence_manifested,pass,counterfactual identity is a separate scoped occurrence,not_read,a250a2cedc5f48ba57b8ac019e3df05e254b3f9d1f0d0bbff4182c9503673c85
11,shared_topology_equivalence_class_declared,pass,topology recurrence is explicitly typed as a shared family,not_read,2df4e3c3b4436ecf32dbb5298960e33afed72d5ea4dbb0ae53a1179ec260067e
12,capacity_fill_rule_derived,pass,"capacity is rule-derived, not a magic literal",not_read,1c196ca5debabc3c20bb0f766e2522fd42a85ede30378853fdb6ea3615e48784
13,capacity_not_recurrence_closure,pass,M1 capacity fill is not called recurrence closure,not_read,3186572546391379eb78400464168e653270199ea3eee15972d55144e6cc7851
14,enumeration_not_causal_time,pass,row indices serialize alternatives rather than causal events,not_read,92a67f9a190170b8f907bb283bb68e26f2e32da4e1a84edf3d146ac4c860d130
15,recurrence_not_claimed,pass,primitive recurrence remains an M2 output,not_read,b37efa74c0a5c24d7a026de047d7a287eea868eaf2720a6e257bbbff4fd8addd
16,SI_anchor_inactive,pass,no metrological anchor is active,not_read,f1c31c3f8dc834005c7376c78ba6406ffece3d881b4df2ca34435d0b9a6ce1fe
17,target_join_closed,pass,no target or empirical score enters M1,not_read,b93955112b78ac4b96289b8cf34635dac2ea394bf6779104ca53d2d82ebaea51
18,freeze_artifact_set_complete,pass,freeze manifest covers the complete declared artifact set,not_read,e3b9b3c08acc533cb7f6a8a4782969a790674c40da274cd38051ad3fb3c45563
