check_id,check_name,check_result,detail,projection_input_status,release_status
PDB-EXT-AOD-PROJ-CHECK-001,evaluation_boundary_hash_matches_r16_manifest,active_pass,r16 evaluation boundary hash is verified before projection rows are emitted,projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-002,evaluation_pair_list_hash_frozen_before_projection,active_pass,pair IDs are hashed before the projection packet is written,projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-003,frozen_AOD_packet_hash_recorded,active_pass,aod_contact_prediction_freeze.csv SHA-256 is recorded,projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-004,frozen_reclosure_packet_hash_recorded,active_pass,aod_reclosure_motif_predictions.csv SHA-256 is recorded,projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-005,SADAR_context_recorded_before_projection,active_pass,sadar_mol_005 is recorded before downstream target comparison,projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-006,projection_states_explicit,active_pass,"contact, noncontact, abstain, and out_of_scope are the declared state domain",projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-007,no_declared_external_alignment_all_pairs_out_of_scope,active_pass,"without a declared 1CRN-to-GAS alignment, every external pair is out_of_scope",projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-008,target_contact_values_not_read_in_r17,active_pass,projection rows ignore target contact values and carry only pair identity,projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-009,no_external_residual_score_computed_in_r17,active_pass,Delta_Z and delta3 rows are not computed by this gate,projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-010,coordinate_metrics_remain_deferred,active_pass,RMSD/TM-score/GDT remain deferred,projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
PDB-EXT-AOD-PROJ-CHECK-011,AOD_motif_curling_curls_and_SADAR_precede_downstream_target_join,active_pass,AOD motif/SADAR freeze remains upstream of future target join,projection_gate_only_boundary_plus_frozen_AOD_packet_no_target_values_no_score,v40.02r17_aod_contact_prediction_packet_projection_gate
