component_id,exact_type,stage,meaning,correction_target
E_calc,integer_or_hash_audit,pre_join,deterministic arithmetic incidence or hash integrity,implementation
Delta_oct,declared_refinement_difference,pre_join,lawful exact change under an explicitly declared temporal or fractal coordinate octave refinement relation,declared_temporal_octave_comparison_coordinate
E_oct,declared_refinement_condition_failure,pre_join,failure of a declared temporal or octave refinement condition,declared_temporal_octave_scope_or_relation
E_proj,integer_rational_or_projection_contract_audit,pre_join,projection contract or deterministic execution defect; declared noninjectivity and information loss are tracked separately,metric_projection_operator
I_Pi,projection_information_loss_card,pre_join,declared projection noninjectivity equivalence classes or discarded native distinctions,projection_metadata
U_obs,exact_set_interval_box_or_mask,pre_join,uncertainty inherent in observation reconstruction normalization and support,observation_branch
E_lineage,hash_relation_or_policy_audit,pre_join,payload clock reconstruction synchronization or provenance defect,observation_lineage
E_scope,integer_set_difference_or_relation_status,join,chain pair boundary frame or correspondence mismatch,join_scope
E_emp,integer_rational_interval_or_set_distance,post_join,prediction disagreement after observation uncertainty is frozen,fold_hypothesis
E_rep,integer_rational_rendering_difference,post_join,optional unit rendering or display rounding difference,report_renderer
