fixture_id,case_kind,claim_id,main_anchor,manual_anchor,scope,scale,motif,wave_lineage,operation,input_trace,coupling_or_fold_provenance,expected_exact_result,hostile_mutation,expected_verdict,test_command
M1-h1-01,positive,M1_NULL_ANCHOR,eq:first-anchor,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,types,{},immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""anchor"": ""00_8"", ""distinct"": 5}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-h1-02,positive,M1_NULL_ANCHOR,eq:first-anchor,manual:m1-native-fixtures,B0,7,declared per operation,a;b for coupling,types,"{""scale"": 7}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""anchor"": ""00_8"", ""distinct"": 5}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-h1-03,hostile,M1_NULL_ANCHOR,eq:first-anchor,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,types,"{""collapse"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-h1-04,hostile,M1_NULL_ANCHOR,eq:first-anchor,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,types,"{""prior_anchor"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-h1-05,hostile,M1_NULL_ANCHOR,eq:first-anchor,manual:m1-native-fixtures,B0,-1,declared per operation,a;b for coupling,types,"{""scale"": -1}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-h1-06,positive,M1_H1_ANCESTOR,eq:atomic-h1,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,hamming,"{""atomic"": true, ""vertices"": [0, 1]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""endpoint"": 1, ""legs"": [1]}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-h1-07,positive,M1_H1_ANCESTOR,eq:atomic-h1,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,hamming,"{""atomic"": false, ""vertices"": [0, 1, 3]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""endpoint"": 2, ""legs"": [1, 1]}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-h1-08,positive,M1_H1_ANCESTOR,eq:atomic-h1,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,hamming,"{""atomic"": false, ""vertices"": [0, 1, 3, 2, 0]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""endpoint"": 0, ""legs"": [1, 1, 1, 1]}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-h1-09,hostile,M1_H1_ANCESTOR,eq:atomic-h1,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,hamming,"{""atomic"": true, ""vertices"": [0, 3]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-h1-10,hostile,M1_H1_ANCESTOR,eq:atomic-h1,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,hamming,"{""atomic"": false, ""vertices"": [0, 1, 2]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
