check_id,check_name,check_result,detail,score_input_status,release_status
PDB-EXT-EVAL-BOUNDARY-CHECK-001,contact_map_derived_before_evaluation_pair_boundary,active_pass,r15 contact map exists and SHA-256 matches before r16 boundary declaration,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-002,contact_map_sha256_matches_r15_manifest,active_pass,contact_map_sha256 equals r15 manifest value,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-003,residue_table_sha256_matches_contact_map_manifest,active_pass,residue_table_sha256 is carried forward from r15 manifest,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-004,sequence_separation_rule_declared_before_pair_selection,active_pass,abs(label_seq_id_j-label_seq_id_i)>=3 is fixed before boundary rows,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-005,evaluation_pair_selection_rule_declared_before_score,active_pass,all eligible external contact-map pairs are selected before any score,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-006,evaluation_pair_count_matches_contact_map_row_count,active_pass,946 boundary rows match 946 contact-map rows,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-007,target_contact_count_matches_contact_map,active_pass,114 target contacts are carried from the target contact map,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-008,target_noncontact_count_matches_contact_map,active_pass,832 target noncontacts are carried from the target contact map,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-009,distance_precision_policy_recorded,active_pass,target_contact_value is computed from full-precision distance before display rounding,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-010,no_AOD_prediction_packet_joined_in_r16,active_pass,AOD prediction packets are not read or joined by this boundary gate,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-011,no_external_residual_score_computed_in_r16,active_pass,external residual score remains deferred,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-012,coordinate_metrics_remain_deferred,active_pass,RMSD/TM-score/GDT remain deferred,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
PDB-EXT-EVAL-BOUNDARY-CHECK-013,AOD_motif_curling_curls_and_SADAR_stay_upstream_of_future_target_join,active_pass,future target joins remain downstream of AOD motif/SADAR freeze,evaluation_boundary_gate_only_no_AOD_join_or_score,v40.02r16_external_pdb_evaluation_pair_boundary_gate
