component_id,exact_type,stage,meaning,correction_target
E_calc,integer_or_hash_audit,pre_projection,native arithmetic incidence hash declaration or deterministic execution defect,native_implementation_or_declaration
Delta_oct,declared_refinement_difference,pre_projection,lawful exact change under a frozen octave refinement relation,comparison_coordinate_only
E_oct,declared_refinement_condition_failure,pre_projection,failure of a declared octave refinement condition,refinement_relation_or_scope
E_proj,projection_contract_or_execution_audit,pre_join,projection basis denominator alignment serialization or deterministic execution defect,projection_operator
I_Pi,projection_information_loss_card,pre_join,declared information loss or noninjectivity,projection_metadata
U_obs,exact_set_interval_box_or_mask,pre_join,uncertainty and support inherent in observation branch,observation_support
E_lineage,hash_relation_or_policy_audit,pre_join,payload clock reconstruction synchronization or provenance defect,observation_lineage
E_scope,integer_set_difference_or_relation_status,join,frame boundary chain pair window or alignment mismatch,join_scope
E_emp,integer_rational_interval_or_set_distance,post_join,supported prediction versus supported target disagreement,native_hypothesis_only_after_prior_gates_pass
E_rep,integer_rational_rendering_difference,post_join,display unit rendering or rounding difference,renderer
