fixture_id,case_kind,claim_id,main_anchor,manual_anchor,scope,scale,motif,wave_lineage,operation,input_trace,coupling_or_fold_provenance,expected_exact_result,hostile_mutation,expected_verdict,test_command
M1-motif-01,positive,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,grammar,{},immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""D_alpha"": [1, -1], ""D_omega"": [-1, 1], ""Dimonon_monons"": 2, ""Duad"": ""seated Duon state"", ""Duon_variants"": 12, ""RD"": [9, 21, 61, 137]}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-02,hostile,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,grammar,"{""claim"": ""Dion=Dimonon""}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-03,hostile,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,grammar,"{""claim"": ""Duon=C2""}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-04,hostile,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,grammar,"{""claim"": ""Duad=new_motif""}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-05,positive,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,certificate,{},immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""admitted"": true}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-06,hostile,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,certificate,"{""mutation"": ""scope""}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-07,hostile,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,certificate,"{""mutation"": ""lineage""}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-08,hostile,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,certificate,"{""mutation"": ""trace_digest""}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-09,hostile,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,certificate,"{""mutation"": ""status""}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-10,hostile,M1_MOTIF_FUSION,eq:motif-admission,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,certificate,"{""mutation"": ""certificate_digest""}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-11,positive,M1_RETURN_RECURRENCE,eq:field-organization,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,field,"{""alias"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""wave_members"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-motif-12,hostile,M1_RETURN_RECURRENCE,eq:field-organization,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,field,"{""closure_only"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
