milestone_id,sequence,scope,title,status,target_release,inputs,outputs,exit_condition,manual2_effect
M0,0,protocol,Exact native/projection/observation protocol baseline,complete,v40.03r01,shared exactness appendix,unified kernel; execution modes; read-only trace; exact projection; observation packet; typed residual,shared protocol tests pass,carried_forward
M1H,1,manual1,Cs M1 canonical execution-ledger and detector-freeze hardening,complete,v40.03r03.2,Cs identity occurrence; shared topology family; frozen kernels,non-temporal kernel inventory; enumerate_all mass ledger; pre-detection freeze manifest; blind p:q classifier; capacity-fill audit,exact stage mass conservation; mutation rejection; p:q=1:2 under declared L=6; recurrence unclaimed,deferred_frozen
M2,2,manual1,Native coupled core-outer primitive recurrence certificate,complete,v40.03r04,M1H admitted occurrence; target-free core-outer coupling operator; connected recurrence trace,six-state connected primitive recurrence certificate; realized integer bip count; exact mass audit; counterfactual specificity audit,full-period closure; no proper-prefix closure; exact mass conservation; realized integer bip count; target frequency absent,deferred_frozen
M3,3,manual1,Cs-scoped native atom-field interaction operator freeze,complete,v40.03r05,M2 recurrence certificate; native coupled states; target-free phase-domain and interaction declarations,Q/Z drive domain; two-window finite-state operator; exact response contract; zero-perturbation policy; selector; controls; SI activation guard,operator frozen but unexecuted; phase aliases canonical; target frequency absent; SI anchor inactive,deferred_frozen
M4,4,manual1,Target-Blind Native Resonance Search,next,v40.03r06,M3 frozen operator; exact Q/Z phase grid; frozen controls,exact cadence response ledger; candidate/candidate-set/interval/unresolved state; control audit,all responses exact; no target frequency; selector output and alias classes materialized,deferred_frozen
M5,5,manual1,Native resonance and zero-perturbation certificate,planned,v40.03r07,M4 response ledger; M3 perturbation and selector contracts,native zero-perturbation resonance cadence; period if invertible; contrast; alias; stability; controls,exact unique/tied/interval/unresolved status; primitive and refinement audits; target absent,deferred_frozen
M6,6,manual1,Correspondence mode and exact SI anchor gate,planned,v40.03r08,M5 native resonance certificate; exact SI reference card; mode declaration,SI_realization_binding or independent_empirical_validation contract; anchor identity/supersession card,SI realization opens only for unique exact zero-perturbation resonance; independent validation requires separate time scale,deferred_frozen
M7,7,manual1,Exact SI causal-metric projection cards,planned,v40.03r09,M6 active anchor; exact SI defining-constant cards; physical-domain contracts,second; hertz; vacuum-null-path metre; photon/transition energy; frequency-derived mass-equivalent cards,authoritative rows integer/reduced-rational; domain and anchor-state hashes frozen,deferred_frozen
M8,8,manual1,Native cut calculus and circle-boundary refinement,planned,v40.03r10,M7 report cards; finite boundary/path/refinement declarations,boundary difference; finite accumulation; path certificate; native shell packet; circle report/refinement ledgers,native closure and report-space R_CA separately typed; symbolic pi enclosure/refinement audit,deferred_frozen
M9,9,manual1,Native tracer and run-tumble fractal-coordinate migration,planned,v40.03r11,M7 exact reports; M8 native operators; historical 3D fixture,native tracer packet; run/tumble event ledger; exact rational 3D projection; observation uncertainty packet; blind join gate,native packet target-independent; historical Brownian fixture retyped; information loss and support audited,deferred_frozen
M10,10,manual1,Hydrogen frequency-ratio holdout,planned,v40.03r12,M6 anchor; M7 frequency card; independently frozen hydrogen native and observation packets,dimensionless recurrence ratio and branch-isolated exact residual,candidate/map/observation/join hashes frozen before unseal; empirical result typed,deferred_frozen
M11,11,manual1,Tau temporal audit,planned,v40.03r13,M6 anchor; M7 time card; native Tau packet; rational observation interval,typed interval-aware temporal residual,duration semantics explicit; uncertainty-aware residual complete; empirical result typed,deferred_frozen
M12,12,manual1,Existing-prediction migration audit,planned,v40.03r14,M8-M11 and carried Manual-I lanes,release-wide typed migration audit,every carried result identifies native/projection/target-support/scope/empirical/rendering disposition,deferred_frozen
M13,13,cross_manual,Manual I consolidation and shared-protocol-v2 proposal,planned,v40.03r15,M1H-M12 completed protocol ledgers,consolidated Manual-I release; proposal-only shared protocol v2 artifacts; anchor supersession policy,protocol audit complete; empirical outcomes may match mismatch interval_overlap or abstain,opens_reassessment
M14,14,manual2,Manual II reassessment and native protein-fold calculus,planned,v40.03r16,M13 exit; frozen Manual-II source; synchronized shared protocol v2,reassessed Manual-II release; native fold/projection/observation separation,shared v2 synchronized; protein native packet distinct from metric/contact reports; target gates independently governed,active_reassessment
