fixture_id,case_kind,claim_id,main_anchor,manual_anchor,scope,scale,motif,wave_lineage,operation,input_trace,coupling_or_fold_provenance,expected_exact_result,hostile_mutation,expected_verdict,test_command
M1-time-01,positive,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,temporal,{},immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""bias"": ""0"", ""drift"": ""0"", ""duration"": ""5"", ""lag"": ""0"", ""ratio"": ""1""}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-02,positive,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,temporal,"{""reverse"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""bias"": ""0"", ""drift"": ""0"", ""duration"": ""7"", ""lag"": ""0"", ""ratio"": ""1""}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-03,positive,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,temporal,"{""na"": 4}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""bias"": ""0"", ""drift"": ""1"", ""duration"": ""5"", ""lag"": ""1"", ""ratio"": ""3/2""}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-04,positive,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,temporal,"{""bias"": [""1/4"", ""0""]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""bias"": ""1/4"", ""drift"": ""1/4"", ""duration"": ""5"", ""lag"": ""1/4"", ""ratio"": ""1""}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-05,hostile,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,temporal,"{""alias"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-06,hostile,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,temporal,"{""single_contact"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-07,hostile,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,temporal,"{""wrong_lineage"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-08,hostile,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,temporal,"{""window"": [0, 5]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-09,hostile,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,temporal,"{""clip_wrong_domain"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-10,positive,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,state,{},immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""distinct_state"": true, ""same_identity"": true}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-11,hostile,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,state,"{""collapse"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-12,positive,M1_FLUX_SADAR,eq:causal-update,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,update,{},immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""current"": ""3"", ""step"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-13,hostile,M1_FLUX_SADAR,eq:causal-update,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,update,"{""future"": 1}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-14,positive,M1_FLUX_SADAR,eq:flux-types,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,flux,{},immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""afc"": ""0"", ""aod"": ""7"", ""boundary"": ""3"", ""retained_lineages"": 2}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-15,positive,M1_FLUX_SADAR,eq:flux-types,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,flux,"{""memory"": [""3/4"", ""1/4""]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""afc"": ""1/2"", ""aod"": ""7"", ""boundary"": ""3"", ""retained_lineages"": 2}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-16,hostile,M1_FLUX_SADAR,eq:flux-types,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,flux,"{""pressure_in_afc"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-17,hostile,M1_FLUX_SADAR,eq:flux-types,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,flux,"{""break_antisymmetry"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-18,positive,M1_FLUX_SADAR,eq:frg-identity,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,frg,{},immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""cross"": ""3"", ""independent"": ""5"", ""recurrent"": ""8"", ""residual"": ""3""}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-19,hostile,M1_FLUX_SADAR,eq:frg-identity,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,frg,"{""early_model"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-20,hostile,M1_FLUX_SADAR,eq:frg-identity,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,frg,"{""same_step"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-21,positive,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,metrology,{},immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""N"": 3, ""report"": ""2""}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-22,positive,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,metrology,"{""N"": 4}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""N"": 4, ""report"": ""8/3""}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-23,hostile,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,metrology,"{""missing"": ""calibration""}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-time-24,hostile,M1_TEMPORAL_RCD,eq:relational-time,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,metrology,"{""N"": 4, ""force_three"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
