check_name,check_result,alignment_freeze_id,check_detail,alignment_rule_gate_status,release_status
r19_candidate_hash_verified_before_freeze,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,r20 reads and hashes the r19 no-alignment candidate before freezing the carry-forward state,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
alignment_rule_freeze_declared_before_any_target_join,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,no target O_ij values are read in this gate,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
evaluation_boundary_hash_carried_forward,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,r16 evaluation boundary hash is carried forward without recomputation,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
aod_packet_and_sadar_context_hashes_carried_forward,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,frozen AOD packet and SADAR context references are carried forward unchanged,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
all_pairs_remain_out_of_scope_without_alignment_rule,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,946 external 1CRN pairs remain out of scope,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
abstain_reserved_for_declared_alignment,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,abstain is not used because no alignment or projection rule exists,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
target_values_not_read_in_r20,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,target contact values are not present in the freeze pair ledger,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
no_residual_score_computed_in_r20,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,residual rows and scores remain blocked,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
coordinate_metrics_remain_deferred,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,RMSD TM-score GDT coordinate-level AOD prediction and lambda_fold remain deferred,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
AOD_motif_curling_curls_and_SADAR_precede_downstream_target_join,active_pass,pdb_external_alignment_rule_freeze_1CRN_A_no_alignment_carry_forward_v4002r20,ChainWordSpec + ReadOnlyTrace -> AOD motif / curling-curls -> SADAR -> frozen packet -> downstream target join,alignment_rule_freeze_gate_only_no_target_read_no_score,v40.02r20_external_pdb_alignment_rule_freeze_no_alignment_carry_forward_gate
