fixture_id,case_kind,claim_id,main_anchor,manual_anchor,scope,scale,motif,wave_lineage,operation,input_trace,coupling_or_fold_provenance,expected_exact_result,hostile_mutation,expected_verdict,test_command
M1-closure-01,positive,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,closure,"{""dwell"": 0, ""scale"": 0}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""dwell"": 0, ""edges"": 2, ""phases"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-02,positive,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,closure,"{""dwell"": 2, ""scale"": 0}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""dwell"": 2, ""edges"": 2, ""phases"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-03,positive,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,1,declared per operation,a;b for coupling,closure,"{""dwell"": 0, ""scale"": 1}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""dwell"": 0, ""edges"": 2, ""phases"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-04,positive,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,1,declared per operation,a;b for coupling,closure,"{""dwell"": 2, ""scale"": 1}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""dwell"": 2, ""edges"": 2, ""phases"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-05,positive,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,19,declared per operation,a;b for coupling,closure,"{""dwell"": 0, ""scale"": 19}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""dwell"": 0, ""edges"": 2, ""phases"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-06,positive,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,19,declared per operation,a;b for coupling,closure,"{""dwell"": 2, ""scale"": 19}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""dwell"": 2, ""edges"": 2, ""phases"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-07,positive,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,closure,"{""vertices"": [0, 1, 3, 2, 0]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""dwell"": 0, ""edges"": 4, ""phases"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-08,hostile,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,closure,"{""bypass"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-09,hostile,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,closure,"{""same_sign"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-10,hostile,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,closure,"{""vertices"": [0, 1, 3]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-11,hostile,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,closure,"{""wrong_witness"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
