check_name,check_result,alignment_rule_declaration_id,check_detail,alignment_rule_gate_status,release_status
r20_freeze_hash_verified_before_declaration,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,r21 reads and hashes the r20 frozen no-alignment carry-forward packet before declaring the rule state,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
alignment_rule_declared_before_any_target_join,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,no target O_ij values are read in this gate,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
evaluation_boundary_hash_carried_forward,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,r16 evaluation boundary hash is carried forward without recomputation,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
aod_packet_and_sadar_context_hashes_carried_forward,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,frozen AOD packet and SADAR context references are carried forward unchanged,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
all_pairs_remain_out_of_scope_without_alignment_rule,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,946 external 1CRN pairs remain out of scope,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
abstain_reserved_for_declared_alignment,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,abstain is not used because no alignment or projection rule exists,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
target_values_not_read_in_r21,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,target contact values are not present in the declaration pair ledger,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
no_residual_score_computed_in_r21,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,residual rows and scores remain blocked,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
coordinate_metrics_remain_deferred,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,RMSD TM-score GDT coordinate-level AOD prediction and lambda_fold remain deferred,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
AOD_motif_curling_curls_and_SADAR_precede_downstream_target_join,active_pass,pdb_external_alignment_rule_declaration_1CRN_A_no_alignment_carry_forward_v4002r21,ChainWordSpec + ReadOnlyTrace -> AOD motif / curling-curls -> SADAR -> frozen packet -> downstream target join,alignment_rule_declaration_gate_only_no_target_read_no_score,v40.02r21_external_pdb_alignment_rule_declaration_gate_no_alignment_carry_forward
