check_id,check_name,check_result,detail,alignment_rule_gate_status,release_status
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-001,r18_alignment_coverage_hash_verified_before_r19,active_pass,the frozen r18 alignment/coverage rows are hashed before the r19 candidate gate is emitted,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-002,alignment_rule_type_declared_before_any_projection_or_target_join,active_pass,no_alignment_carry_forward is declared before target O_ij values are read,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-003,evaluation_boundary_hash_carried_forward,active_pass,the stable r16 boundary ID and pair-list hash are carried forward,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-004,aod_packet_and_sadar_context_hashes_carried_forward,active_pass,frozen AOD packet/reclosure hashes and SADAR context are carried forward,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-005,all_pairs_remain_out_of_scope_without_alignment_rule,active_pass,all 946 pairs remain out_of_scope because no mapping source/scope is declared,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-006,abstain_reserved_for_declared_alignment,active_pass,abstain remains unavailable until a concrete alignment/projection rule exists,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-007,target_values_not_read_in_r19,active_pass,r19 rows do not contain target_contact_value and do not read target O_ij,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-008,no_residual_score_computed_in_r19,active_pass,Delta_Z and delta3 rows are not computed by this gate,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-009,coordinate_metrics_remain_deferred,active_pass,RMSD/TM-score/GDT remain deferred,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
PDB-EXT-ALIGN-RULE-CANDIDATE-CHECK-010,AOD_motif_curling_curls_and_SADAR_precede_downstream_target_join,active_pass,AOD motif/SADAR freeze remains upstream of any future target join,candidate_gate_only_no_target_read_no_score,v40.02r19_external_pdb_alignment_rule_candidate_gate
