milestone_id,sequence,target_release,title,status,inputs_or_scope,exit_condition,dependency_graph_role,milestone_row_sha256
R0,0,v40.03r05.2,Relational temporal semantics and C6 roadmap repair,carried_forward_complete,remove monon/bip type error; freeze relational SADAR time protocol,no target or score,authoritative_execution_order,2cdba3882bb74eeff704ca362fc6d7166b57bdd52d97fab76f17813c3f0a4d43
R1,1,v40.03r06.3.1,Canonical serialization and closed-semantics binding,carried_forward_complete,3:3:6 and 3:4:6 globally closed canonical support-family/accessor packets with physical-order and semantic-status binding,local D.E.C. remains pending; primitive support unchanged,authoritative_execution_order,a29c26343ca52aec157e5dda82c532591e6f184a88cf74f01aabf23f530412d7
R2,2,v40.03r07,Hydrogen-1 native occurrence gate,current_complete,target-blind H-1 occurrence,no Balmer target input,authoritative_execution_order,68361e7ff48dad4767d7d4c16de1437afb6bfa142d0f0bf5bfea8f52b0ea8f17
R3,3,v40.03r08,Hydrogen native transition and SADAR lock atlas,next,native transition flows and phase locks,no SI units,authoritative_execution_order,2ebe3837e7eed0ec97bab1d4af9075e74bdc9e19fa18c767078e928db6f71a53
R4,4,v40.03r09,Exact Balmer relational-ratio audit,planned,dimensionless exact ratio audit,native packets frozen first,authoritative_execution_order,c1d5e765acecf885d17b4aefcddaa9c2ce3a7881534bbd1e574bfcdedb75c87a
R5,5,v40.03r10,Hydrogen isotope extension,planned,H-2/H-3 occurrences,same relational protocol,authoritative_execution_order,818c2670043eb0c185073e808707882778f8c6527461cafaa2b3aa2335d3745a
R6,6,v40.03r11,118-element relational transition atlas,planned,element transition flow schemas,no private conversion,authoritative_execution_order,c8d2e7fbed861e43bc93ae73484f4b3f6859748bc3d99e82d5f91759f1714e8b
R7,7,v40.03r12,Hyperfine C6 compatibility and divisibility audit,planned,post-freeze compatibility audit,mismatch allowed,authoritative_execution_order,d0c0e277477a5f0ee9f4e57931dd89a15cda5d55f89ad10c29c51388ab3ec707
R8,8,v40.03r13,Native rest-cycle relational atlas,planned,rest and transition packets separate,target-free,authoritative_execution_order,e2c0cc86c1d702ab89823c5363d2f54bf80275c4adb0ac11a73bd325515f40eb
R9,9,v40.03r14,Optional metrological reference cards,planned,reference flow to SI report cards,native flows unchanged,authoritative_execution_order,f741e22ce5e6afcff62c8ffcf1f9f53a102784cfe77fd85b9ef7260f88d73775
R10,10,v40.03r15,Circle relational geometry audit,planned,R_CA exact audit,zero not imposed,authoritative_execution_order,8d900780abd4dd9f0b8551bc58bbbb75f522cccc2a9b1b3791a0ac17f5b307f9
R11,11,v40.03r16,Tau survival/hazard and migration audit,planned,stochastic survival flow,no fixed Tau bip duration,authoritative_execution_order,b82a1931b5479df5fe2fd493bb691997388a687e078234b83bacc7c9c581f331
R12,12,v40.03r17,Manual-I consolidation,planned,protocol audit complete,empirical mismatch allowed,authoritative_execution_order,7a24063ce869f652fe30c40943fd9eec5d104de313cef64ffd8826eec572d151
R13,13,v40.03r18,Manual-II reassessment,deferred,synchronized reassessment,manual-2 frozen until then,authoritative_execution_order,7f0462c4b4f741302678f0546d47f1593a348cc125758ec5fa3d03edcf4552a5
