sequence,finding_id,source_release,severity,blocking,status,summary,required_action,evidence_path
1,FB-R072-001,v40.03r07.2,BLOCKING,yes,OPEN,Resolve and embed AF/AFC/GM/AOD immutable release locks before GO.,Run declared upstream refresh; embed and strictly validate all four immutable release locks.,governance/UPSTREAM_RELEASE_LOCK_STATUS.json
2,FB-R072-002,v40.03r07.2,BLOCKING,yes,VERIFIED_CLOSED,Rebase workflow state to accepted v40.03r07.1.,Preserve accepted stable baseline and lineage.,governance/reviews/v40.03r07.2_WORKFLOW_BOOTSTRAP_REVIEW.md
3,FB-R072-003,v40.03r07.2,NONBLOCKING,no,VERIFIED_CLOSED,Scope release streams to governance/project baseline only.,Retain domain-scoped release-source registry.,governance/REPOSITORY_RELEASE_SOURCES.json
4,FB-R072-004,v40.03r07.2,BLOCKING,yes,VERIFIED_CLOSED,Replace conflicting precedence orders with domain authority.,Retain exact domain authority mapping.,governance/GLOBAL_INSTRUCTIONS.json
5,FB-R072-005,v40.03r07.2,BLOCKING,yes,VERIFIED_CLOSED,Add strict release-lock validation and pending status.,Preserve pending fail-closed state until lock resolution.,governance/UPSTREAM_RELEASE_LOCK_STATUS.json
6,FB-R072-006,v40.03r07.2,BLOCKING,yes,VERIFIED_CLOSED,Harden resolver asset-role contract.,Require exact source/PDF/bundle/checksum roles.,tools/resolve_github_releases.py
7,FB-R072-007,v40.03r07.2,BLOCKING,yes,VERIFIED_CLOSED,Add archive path/link/duplicate safety validation.,Retain archive-safety checks.,tools/bundle_common.py
8,FB-R072-008,v40.03r07.2,BLOCKING,yes,VERIFIED_CLOSED,Add authored checksum verification policy.,Retain exact checksum coverage validation.,tools/resolve_github_releases.py
9,FB-R072-009,v40.03r07.2,BLOCKING,yes,VERIFIED_CLOSED,Bind normalized profiles to resolved releases.,Require profile binding in every strict release lock.,tools/validate_upstream_release_lock.py
10,FB-R072-010,v40.03r07.2,NONBLOCKING,no,VERIFIED_CLOSED,Separate raw mutable metadata from normalized stable release identity.,Preserve normalized identity digest.,governance/schemas/upstream-release-lock.schema.json
11,FB-R072-011,v40.03r07.2,NONBLOCKING,no,VERIFIED_CLOSED,Remove Python caches from canonical source.,Reject generated caches in complete-bundle validation.,tools/validate_complete_bundle.py
12,R073-F001,v40.03r07.2-review,HIGH,yes,VERIFIED_CLOSED,Strict upstream-release-lock validator was fail-open.,"Enforce exact schema, identities, source/assets, checksum coverage, profile binding, and status consistency.",tools/validate_upstream_release_lock.py
13,R073-F002,v40.03r07.2-review,HIGH,yes,VERIFIED_CLOSED,Declared schemas did not validate native records.,Replace stale schemas and run one canonical complete-bundle validator.,tools/validate_complete_bundle.py
14,R073-F003,v40.03r07.2-review,HIGH,yes,VERIFIED_CLOSED,Successor-bundle cycle was declared but not executable.,Add deterministic one-transition successor engine and complete bundle emission.,tools/run_bundle_transition.py
15,R073-F004,v40.03r07.2-review,MEDIUM,yes,VERIFIED_CLOSED,Review and feedback state were not digest-bound.,"Bind review, feedback, evidence, and transition records with append-only hashes.",cycle/schemas/review-record.schema.json
16,R073-F005,v40.03r07.2-review,MEDIUM,yes,VERIFIED_CLOSED,Governance provenance was stale and source delta opaque.,Repair provenance and add exact source-tree delta manifest.,governance/AF_DERIVATION_MAP.md
17,R073-F006,v40.03r07.3-review,HIGH,yes,APPLIED_UNVERIFIED,Review validation was outcome-hardcoded to one blocker and one HOLD state.,Derive open findings verdict GO eligibility and r08 status from the admitted feedback ledger reviewer class and upstream authority state.,tools/validate_complete_bundle.py
18,R073-F007,v40.03r07.3-review,HIGH,yes,APPLIED_UNVERIFIED,Authoring materialization could self-assert the independent review record.,Require an external reviewer submission and review findings input for AUTHORING-to-REVIEW materialization.,tools/run_bundle_transition.py
19,R073-F008,v40.03r07.3-review,MEDIUM,yes,APPLIED_UNVERIFIED,No independent command admitted review findings while emitting REVIEW-to-FEEDBACK.,Add a digest-bound review-feedback transition command with append-only findings and transition records.,tools/run_review_feedback_transition.py
20,R0731-REV-001,v40.03r07.3.1-review,HIGH,yes,APPLIED_UNVERIFIED,Reviewer authority and submitted-check preservation were incomplete.,Reject self-review verification closure and preserve external reviewer checks exactly.,tools/run_bundle_transition.py
21,R0731-REV-002,v40.03r07.3.1-review,HIGH,yes,APPLIED_UNVERIFIED,Review-to-feedback submission schemas disagreed.,Use one object-based check schema for review submissions and concrete records.,cycle/schemas/review-template.schema.json
22,R0731-REV-003,v40.03r07.3.1-review,HIGH,yes,APPLIED_UNVERIFIED,AUTHORING bundles were not admitted by the complete validator before REVIEW.,Make complete validation phase-aware and require it before AUTHORING-to-REVIEW.,tools/validate_complete_bundle.py
23,R0731-REV-004,v40.03r07.3.1-review,HIGH,yes,APPLIED_UNVERIFIED,Feedback verification rewrote prior ledger rows.,Represent status changes as appended hash-chained events and derive current state from latest events.,tools/review_common.py
24,R0731-REV-005,v40.03r07.3.1-review,MEDIUM,yes,APPLIED_UNVERIFIED,GO-derived Hydrogen status conflicted with transition schema.,Permit OPEN and BLOCKED r08 states consistently in transition records.,cycle/schemas/transition-record.schema.json
25,FB-R072-001,v40.03r07.2,BLOCKING,yes,APPLIED_UNVERIFIED,Resolve and embed AF/AFC/GM/AOD immutable release locks before GO.,Run declared upstream refresh; embed and strictly validate all four immutable release locks.,governance/UPSTREAM_RELEASE_POLICY.json
