audit_id,scope_id,source_check_id,check_name,check_stage,check_result,forbidden_source,forbidden_destination,allowed_stage,source_check_status,pilot_check_status,score_input_status,release_status
PDB-PILOT-LEAK-001,pdb_contact_scope_manual_GAS_v4002r08,PDB-SCOPE-LEAK-001,carried_forward_v40.02r08_scope_leakage_check,scope_input_lock,active_pass,pdb_mmcif_coordinate_payloads_contact_maps_distance_matrices,aod_contact_reclosure_prediction_freeze_inputs,comparison_scope_declaration_after_prediction_freeze,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
PDB-PILOT-LEAK-002,pdb_contact_scope_manual_GAS_v4002r08,PDB-SCOPE-LEAK-002,carried_forward_v40.02r08_scope_leakage_check,scope_input_lock,active_pass,pdb_mmcif_contact_comparison_scope_rows,prediction_model_registry_or_freeze_generator,comparison_scope_declaration_only,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
PDB-PILOT-LEAK-003,pdb_contact_scope_manual_GAS_v4002r08,PDB-SCOPE-LEAK-003,carried_forward_v40.02r08_scope_leakage_check,scope_input_lock,active_pass,alphafold_predicted_structure_coordinates_confidence_fields,aod_contact_reclosure_prediction_freeze_inputs,future_comparator_lane_after_prediction_freeze_only,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
PDB-PILOT-LEAK-004,pdb_contact_scope_manual_GAS_v4002r08,PDB-SCOPE-LEAK-004,carried_forward_v40.02r08_scope_leakage_check,scope_input_lock,active_pass,scope_declaration_rows,protein_contact_score_without_future_score_milestone,not_scored_in_v40.02r08,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
PDB-PILOT-LEAK-005,pdb_contact_scope_manual_GAS_v4002r08,PDB-PILOT-LEAK-005,frozen_aod_packet_read_before_target_contact_row,prediction_freeze,active_pass,target_contact_rows,aod_contact_prediction_freeze,target_join_after_prediction_freeze,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
PDB-PILOT-LEAK-006,pdb_contact_scope_manual_GAS_v4002r08,PDB-PILOT-LEAK-006,target_columns_absent_from_frozen_prediction_packet,prediction_freeze,active_pass,target_columns,aod_contact_prediction_freeze,comparison_only_after_freeze,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
PDB-PILOT-LEAK-007,pdb_contact_scope_manual_GAS_v4002r08,PDB-PILOT-LEAK-007,score_script_joins_target_after_prediction_freeze,score_join,active_pass,target_contact_rows,score_inputs_before_prediction_freeze,scope_then_freeze_then_target_join,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
PDB-PILOT-LEAK-008,pdb_contact_scope_manual_GAS_v4002r08,PDB-PILOT-LEAK-008,residual_computed_after_prediction_and_target_rows_frozen,residual_audit,active_pass,residual_row,unfrozen_prediction_or_target,after_both_rows_frozen,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
PDB-PILOT-LEAK-009,pdb_contact_scope_manual_GAS_v4002r08,PDB-PILOT-LEAK-009,target_source_type_recorded,target_provenance,active_pass,missing_target_source_type,pdb_scoped_contact_residual_pilot,source_metadata_required,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
PDB-PILOT-LEAK-010,pdb_contact_scope_manual_GAS_v4002r08,PDB-PILOT-LEAK-010,coordinate_level_score_fields_remain_deferred,metric_scope,active_pass,RMSD_TM_score_GDT_coordinate_prediction,pdb_scoped_contact_score,future_coordinate_level_prediction_freeze_only,active_pass,active_pass,scope_rows_read_before_prediction_and_target_rows,v40.02r09.1_scoped_pdb_contact_boundary_metric_guard
