check_id,check_name,check_result,detail,score_input_status,release_status
PDB-EXT-CONTACT-MAP-CHECK-001,contact_map_reads_only_r14_residue_table,active_pass,residue table is the only coordinate input,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
PDB-EXT-CONTACT-MAP-CHECK-002,residue_table_sha256_matches_r14_manifest,active_pass,residue_table_sha256 equals locked r14 table hash,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
PDB-EXT-CONTACT-MAP-CHECK-003,sequence_separation_rule_declared_before_pair_generation,active_pass,abs(label_seq_id_j-label_seq_id_i)>=3 declared before generation,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
PDB-EXT-CONTACT-MAP-CHECK-004,contact_threshold_8_angstrom_declared_before_contact_bits,active_pass,8.0 Angstrom cutoff declared before contact values,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
PDB-EXT-CONTACT-MAP-CHECK-005,eligible_pair_count_matches_declared_rule,active_pass,46 residues yield 946 eligible pairs under >=3 rule,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
PDB-EXT-CONTACT-MAP-CHECK-006,target_contact_count_matches_declared_rule,active_pass,8.0 Angstrom cutoff yields 114 contacts under >=3 rule,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
PDB-EXT-CONTACT-MAP-CHECK-007,no_external_residual_score_computed_in_r15,active_pass,external residual score remains blocked,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
PDB-EXT-CONTACT-MAP-CHECK-008,no_AOD_prediction_packet_joined_in_r15,active_pass,contact map is target-only and does not join AOD predictions,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
PDB-EXT-CONTACT-MAP-CHECK-009,coordinate_metrics_remain_deferred,active_pass,RMSD/TM-score/GDT remain deferred,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
PDB-EXT-CONTACT-MAP-CHECK-010,AOD_motif_curling_curls_and_SADAR_stay_upstream_of_future_target_join,active_pass,future target joins remain downstream of AOD motif/SADAR freeze,contact_map_gate_only_no_AOD_join_or_score,v40.02r15_external_pdb_contact_map_derivation_gate
