guard_id,forbidden_source_class,forbidden_destination,allowed_role,guard_status
LEAK-RAW-DEC-001,PubChem/RDKit/UniProt/PDB/AlphaFold target fields,raw_dec_trace_*,target_only_after_freeze,active
LEAK-PRED-FREEZE-001,PDB_or_AlphaFold_coordinates_contact_maps_distance_matrices,aod_prediction_freeze_inputs,comparison_only_after_prediction_freeze,active
LEAK-PRED-FREEZE-002,target_contact_map_or_distance_matrix_rows,aod_contact_reclosure_prediction_freeze,comparison_only_after_prediction_freeze,active
LEAK-PRED-FREEZE-003,secondary_structure_or_confidence_fields,aod_contact_reclosure_prediction_freeze,comparison_only_after_prediction_freeze,active
LEAK-SCORE-001,frozen_aod_predictions,protein_contact_score_before_v40.02r06,score_only_in_next_milestone,active
LEAK-PDB-PAYLOAD-001,pdb_mmcif_coordinate_payloads,aod_contact_reclosure_prediction_freeze_inputs,target_only_after_prediction_freeze,active_v40.02r07
LEAK-PDB-PAYLOAD-002,pdb_mmcif_contact_map_derived_or_distance_matrix_derived,protein_contact_score_without_explicit_future_score_scope,target_derivation_only_not_scored_in_v40.02r07,active_v40.02r07
LEAK-PDB-SCOPE-001,pdb_mmcif_contact_scope_target_rows,aod_prediction_freeze_or_raw_dec_inputs,scope_declaration_only_after_prediction_freeze,active_v40.02r08
LEAK-PDB-SCOPE-002,alphafold_predicted_structure_comparator_rows,pdb_experimental_ground_truth_score_scope,separate_comparator_not_scored_in_v40.02r08,active_v40.02r08
LEAK-PDB-SCOPE-003,pdb_contact_comparison_scope_rows,released_lambda_fold_or_full_coordinate_claim,quarantined_scope_declaration_only,active_v40.02r08
LEAK-PDB-PILOT-001,pdb_mmcif_coordinate_payloads_or_distance_matrices,aod_contact_reclosure_prediction_freeze_inputs,scoped_score_reads_only_after_v40.02r08_scope_lock,active_v40.02r09
LEAK-PDB-PILOT-002,pdb_scoped_contact_score_rows,released_lambda_fold_or_full_coordinate_claim,quarantined_pilot_no_active_value_map,active_v40.02r09
LEAK-PDB-EXT-SCOPE-001,external_PDB_accession_coordinate_payload_or_contact_rows,raw_dec_trace_or_aod_prediction_freeze,target_only_after_scope_and_freeze,active_v40.02r11
LEAK-PDB-EXT-SCOPE-002,external_accession_score_without_payload_hash_and_boundary_lock,pdb_external_accession_score_rows,score_deferred_until_payload_hash_and_pair_scope_declared,active_v40.02r11
LEAK-PDB-MEAS-001,coordinate_model_observable_fixture,raw_experimental_measurement_truth,reconstruction_space_target_or_derived_observable_source,active_v40.02r21.1
LEAK-PDB-MEAS-002,reflection_map_validation_or_raw_image_payload,raw_dec_trace_or_aod_prediction_freeze,downstream_measurement_lineage_after_payload_lock,active_v40.02r21.1
LEAK-PDB-MEAS-003,measurement_operator_or_nuisance_parameters_estimated_from_target,unfrozen_AOD_prediction_or_unheldout_score,frozen_operator_and_prefrozen_holdout_policy,active_v40.02r21.1
LEAK-PDB-MEAS-004,B_factor_occupancy_RSRZ_RSCC,coordinate_standard_error_or_distance_interval_without_uncertainty_model,support_indicator_and_quality_mask_only,active_v40.02r21.1
LEAK-PDB-MEAS-005,validation_values_or_native_local_support_fields,quality_rule_definition_after_value_parse,quality_rule_frozen_before_validation_ingest,active_v40.02r21.2
LEAK-PDB-MEAS-006,coordinate_derived_contact_bits,quality_admitted_target_without_supported_pair_mask,coordinate_model_fixture_column_plus_ternary_quality_overlay,active_v40.02r21.2
LEAK-PDB-MEAS-007,zero_supported_pair_quality_mask,derived_contact_residual_or_score,comparison_lane_activates_after_supported_pair_count_positive,active_v40.02r21.2
