check_id,check_name,check_result,detail,alignment_gate_status,release_status
PDB-EXT-ALIGN-COVERAGE-CHECK-001,r17_projection_hash_verified_before_alignment_gate,active_pass,the frozen r17 projection packet is hashed before r18 coverage rows are emitted,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-002,evaluation_boundary_id_stable_and_file_separated,active_pass,the stable boundary ID is recorded separately from the boundary file path,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-003,alignment_status_declared_before_any_target_join,active_pass,no_alignment_declared is recorded before any target contact values are read,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-004,coverage_fraction_declared,active_pass,projection coverage is recorded as 0/946 with display 0.0,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-005,all_pairs_out_of_scope_without_alignment,active_pass,all 946 pairs remain out_of_scope because no alignment/projection rule is declared,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-006,abstain_requires_declared_alignment,active_pass,abstain is reserved for in-scope pairs after an alignment/projection rule exists,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-007,target_contact_values_not_read_in_r18,active_pass,coverage rows do not contain target_contact_value and do not read target O_ij,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-008,no_residual_score_computed_in_r18,active_pass,Delta_Z and delta3 rows are not computed by this gate,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-009,frozen_AOD_packet_and_SADAR_context_recorded,active_pass,"aod packet, reclosure packet, and SADAR context hashes are carried forward",alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-010,coordinate_metrics_remain_deferred,active_pass,RMSD/TM-score/GDT remain deferred,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
PDB-EXT-ALIGN-COVERAGE-CHECK-011,AOD_motif_curling_curls_and_SADAR_precede_downstream_target_join,active_pass,AOD motif/SADAR freeze remains upstream of any future target join,alignment_coverage_gate_only_no_target_read_no_score,v40.02r18_external_pdb_projection_alignment_coverage_gate
